Account,82889357,Phillips Brooks House Association,,,,,,,,
Product,NP,Non Profit Package,,,,,,,,
Policy Number,PHPK2672629,Phillips Brooks House Association 4/1/2024 To 4/1/2025,,,,,,,,
Claim #,Claimant,Loss Type,Status,"Loss
Date",Open,Closed,"Total Loss
Paid","Expense
Payments","Subro/Sal
Recovered",Examiner
PHNP24041644328,,BODILY INJURY,CL,4/13/2024,4/22/2024,10/8/2024,"$4,588",$0,$0,
PHNP24041644328,,"COMBINED PROPERTY
DAMAGE",CL,4/13/2024,4/22/2024,10/8/2024,"$10,297",$165,$0,
PHNP24041644328,,COLLISION,CL,4/13/2024,4/22/2024,10/8/2024,"$2,529",$180,$0,
Totals for Policy Number: PHPK2672629,,,1,,,,"$17,413",$345,$0,
,,,,,,"Total Loss
Reserve",$0,,,
,,,,,,"Total Expense
Reserve",$0,,,
,,,,,,Total Incurred,"$17,758",,,
