Account,82889357,Phillips Brooks House Association,,,,,,,,
Product,BA,Business Auto,,,,,,,,
Policy Number,PHPK1799211,Phillips Brooks House Association 4/1/2018 To 4/1/2019,,,,,,,,
Claim #,Claimant,Loss Type,Status,"Loss
Date",Open,Closed,"Total Loss
Paid","Expense
Payments","Subro/Sal
Recovered",Examiner
PHBA18081202240,,COLLISION,CL,8/8/2018,8/20/2018,8/31/2018,"$12,709",$90,$0,
PHBA18081202240,,COMP OTHER,CL,8/8/2018,8/20/2018,8/31/2018,$0,$0,$0,
PHBA18081202609,,COLLISION,CL,8/16/2018,8/21/2018,10/22/2018,"$14,336",$90,$0,
PHBA18111227371,,"COMBINED PROPERTY
DAMAGE",CL,10/26/2018,11/16/2018,1/29/2019,"$2,238",$60,$0,
PHBA18111227371,,"COMBINED PROPERTY
DAMAGE",CL,10/26/2018,11/16/2018,1/29/2019,$0,$0,$0,
PHBA18111227846,,COLLISION,CL,11/14/2018,11/19/2018,12/4/2018,$0,$115,"($10,703)",
PHBA18111227846,,"COMBINED PROPERTY
DAMAGE",CL,11/14/2018,11/19/2018,12/4/2018,$0,$0,$0,
PHBA19021253827,,"COMBINED PROPERTY
DAMAGE",CL,11/14/2018,2/27/2019,3/26/2019,"$2,638",$60,$0,
PHBA19031256807,,"COMBINED PROPERTY
DAMAGE",CL,3/5/2019,3/8/2019,3/18/2019,"$2,494",$90,$0,
PHBA19031260087,,"COMBINED PROPERTY
DAMAGE",CL,3/13/2019,3/20/2019,4/8/2019,"$1,834",$0,$0,
Totals for Policy Number: PHPK1799211,,,7,,,,"$36,250",$505,"($10,703)",
,,,,,,"Total Loss
Reserve",$0,,,
,,,,,,"Total Expense
Reserve",$0,,,
