Account,82889357,Phillips Brooks House Association,,,,,,,,
Product,NP,Non Profit Package,,,,,,,,
Policy Number,PHPK2536456,Phillips Brooks House Association 4/1/2023 To 4/1/2024,,,,,,,,
Claim #,Claimant,Loss Type,Status,"Loss
Date",Open,Closed,"Total Loss
Paid","Expense
Payments","Subro/Sal
Recovered",Examiner
PHNP23071594006,,COLLISION,NP,7/17/2023,7/26/2023,7/28/2023,$0,$0,$0,
PHNP23071594033,,COLLISION,NP,7/14/2023,7/26/2023,7/27/2023,$0,$0,$0,
Totals for Policy Number: PHPK2536456,,,2,,,,$0,$0,$0,
,,,,,,"Total Loss
Reserve",$0,,,
,,,,,,"Total Expense
Reserve",$0,,,
,,,,,,Total Incurred,$0,,,
