Account,82889357,Phillips Brooks House Association,,,,,,,,
Product,NP,Non Profit Package,,,,,,,,
Policy Number,PHPK1958550,Phillips Brooks House Association 4/1/2019 To 4/1/2020,,,,,,,,
Claim #,Claimant,Loss Type,Status,"Loss
Date",Open,Closed,"Total Loss
Paid","Expense
Payments","Subro/Sal
Recovered",Examiner
PHNP19051273493,,COLLISION,CL,5/3/2019,5/8/2019,5/16/2019,"$4,975",$90,$0,
PHNP19061286019,,COLLISION,CL,6/17/2019,6/21/2019,7/4/2019,"$3,700",$90,$0,
PHNP19121331894,,COLLISION,CL,11/21/2019,12/5/2019,1/23/2020,"$4,126",$90,$0,
PHNP19121331894,,"COMBINED PROPERTY
DAMAGE",CL,11/21/2019,12/5/2019,1/23/2020,"$4,740",$60,$0,
PHNP19121334259,,COMP OTHER,CL,12/9/2019,12/13/2019,12/31/2019,"$3,786",$90,$0,
PHNP20031354048,,"COMBINED PROPERTY
DAMAGE",CL,2/29/2020,3/9/2020,3/24/2020,"$1,931",$115,$0,
PHNP20041363409,,"COMBINED PROPERTY
DAMAGE",CL,3/8/2020,4/16/2020,6/5/2020,"$1,569",$60,$0,
PHNP20041364618,,"COMBINED PROPERTY
DAMAGE",NP,3/8/2020,4/22/2020,4/23/2020,$0,$0,$0,
Totals for Policy Number: PHPK1958550,,,7,,,,"$24,826",$595,$0,
,,,,,,"Total Loss
Reserve",$0,,,
,,,,,,"Total Expense
Reserve",$0,,,
,,,,,,Total Incurred,"$25,421",,,
